id,label
0,5
1,0
2,3
3,3
4,7
5,9
6,3
7,5
8,2
9,4
10,7
11,6
12,8
13,8
14,1
15,6
16,7
17,7
18,8
19,1
20,5
21,9
22,8
23,9
24,4
25,3
26,0
27,3
28,5
29,0
30,2
31,3
32,8
33,1
34,3
35,3
36,3
37,7
38,0
39,1
40,9
41,9
42,0
43,4
44,7
45,3
46,2
47,7
48,2
49,0
50,0
51,4
52,5
53,5
54,6
55,8
56,4
57,1
58,4
59,9
60,8
61,1
62,1
63,7
64,9
65,9
66,3
67,6
68,7
69,2
70,0
71,3
72,5
73,9
74,4
75,4
76,6
77,4
78,4
79,3
80,4
81,4
82,8
83,4
84,3
85,7
86,5
87,5
88,0
89,1
90,5
91,9
92,3
93,0
94,5
95,0
96,1
97,2
98,4
99,2
100,0
101,3
102,2
103,0
104,7
105,5
106,9
107,0
108,2
109,7
110,2
111,9
112,2
113,3
114,3
115,2
116,3
117,4
118,1
119,2
120,9
121,1
122,4
123,6
124,8
125,2
126,3
127,0
128,0
129,6
130,0
131,6
132,3
133,3
134,8
135,8
136,8
137,2
138,3
139,2
140,0
141,8
142,8
143,3
144,8
145,2
146,8
147,4
148,3
149,0
150,4
151,3
152,6
153,9
154,8
155,0
156,8
157,5
158,9
159,0
160,9
161,6
162,5
163,3
164,1
165,8
166,0
167,4
168,9
169,6
170,5
171,7
172,8
173,8
174,9
175,2
176,8
177,6
178,6
179,9
180,1
181,6
182,8
183,8
184,3
185,2
186,3
187,6
188,3
189,6
190,5
191,7
192,0
193,8
194,4
195,6
196,5
197,8
198,2
199,3
200,9
201,7
202,5
203,3
204,4
205,5
206,3
207,3
208,7
209,9
210,9
211,9
212,7
213,3
214,2
215,3
216,9
217,7
218,7
219,5
220,1
221,2
222,2
223,8
224,1
225,5
226,8
227,4
228,0
229,2
230,5
231,5
232,0
233,8
234,1
235,1
236,0
237,3
238,8
239,8
240,4
241,4
242,0
243,9
244,3
245,7
246,3
247,2
248,1
249,1
250,2
251,1
252,4
253,2
254,5
255,5
256,5
257,2
258,5
259,7
260,7
261,6
262,1
263,6
264,7
265,2
266,3
267,1
268,9
269,5
270,9
271,9
272,2
273,0
274,9
275,1
276,9
277,0
278,6
279,0
280,4
281,8
282,4
283,3
284,3
285,8
286,8
287,7
288,0
289,3
290,8
291,7
292,7
293,1
294,8
295,4
296,7
297,0
298,4
299,9
300,0
301,6
302,4
303,2
304,4
305,6
306,3
307,3
308,7
309,8
310,5
311,0
312,8
313,5
314,4
315,7
316,4
317,1
318,3
319,3
320,9
321,2
322,5
323,2
324,3
325,5
326,7
327,2
328,7
329,1
330,6
331,5
332,0
333,0
334,3
335,1
336,9
337,9
338,6
339,6
340,7
341,8
342,8
343,7
344,0
345,8
346,6
347,8
348,9
349,8
350,3
351,6
352,1
353,7
354,4
355,9
356,2
357,0
358,8
359,2
360,7
361,8
362,4
363,4
364,1
365,7
366,6
367,9
368,4
369,1
370,5
371,9
372,7
373,1
374,3
375,5
376,7
377,3
378,6
379,6
380,7
381,9
382,1
383,9
384,6
385,0
386,3
387,8
388,4
389,1
390,4
391,5
392,0
393,3
394,1
395,4
396,4
397,4
398,0
399,0
400,8
401,4
402,6
403,9
404,3
405,3
406,2
407,1
408,2
409,1
410,3
411,4
412,1
413,1
414,0
415,7
416,8
417,4
418,3
419,5
420,6
421,3
422,2
423,9
424,8
425,1
426,4
427,0
428,8
429,3
430,9
431,5
432,5
433,1
434,7
435,8
436,6
437,4
438,7
439,3
440,5
441,3
442,6
443,4
444,7
445,3
446,0
447,5
448,9
449,3
450,7
451,5
452,5
453,8
454,0
455,8
456,3
457,6
458,9
459,3
460,2
461,7
462,0
463,3
464,0
465,3
466,6
467,1
468,9
469,2
470,9
471,4
472,9
473,1
474,3
475,2
476,4
477,9
478,7
479,4
480,9
481,4
482,1
483,2
484,7
485,2
486,3
487,9
488,7
489,6
490,6
491,2
492,3
493,6
494,0
495,8
496,0
497,7
498,6
499,5
500,9
501,6
502,5
503,2
504,7
